Label	Brand	Name	Price	Rank	Combination	Dry	Normal	Oily	Sensitive
Moisturizer	SHISEIDO	Eudermine Revitalizing Essence	57	4.5	0	0	0	0	0
Moisturizer	ORIGINS	GinZing™ Energy-Boosting Gel Moisturizer	29	4.4	1	1	1	1	1
Moisturizer	EST?E LAUDER	Micro Essence Skin Activating Treatment Lotion	100	4.4	0	0	0	0	0
Moisturizer	SON & PARK	Beauty Water	30	4.6	1	1	1	1	1
Moisturizer	TATCHA	The Silk Cream	120	4.3	1	1	1	0	1
Moisturizer	OLEHENRIKSEN	C-Rush™ Brightening Gel Cr?me	44	4.6	1	1	1	1	1
Moisturizer	AMOREPACIFIC	Color Control Cushion Compact Broad Spectrum SPF 50+	60	4	1	1	1	1	1
Moisturizer	BOBBI BROWN	Vitamin Enriched Face Base Priming Moisturizer	60	4.5	1	0	1	1	0
Moisturizer	DR. JART+	Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30	52	4.2	1	1	1	1	1
Moisturizer	CAUDALIE	Vinosource Moisturizing Sorbet	39	4.2	1	1	1	1	1
Moisturizer	HERBIVORE	Lapis Oil Balancing Facial Oil	72	4.4	1	0	1	1	0
Moisturizer	ERBORIAN	CC Cr?me High Definition Radiance Face Cream Skin Perfector	44	4.1	1	1	1	1	1
Moisturizer	SMASHBOX	Camera Ready BB Cream SPF 35	42	4	0	0	0	0	0
Moisturizer	SUNDAY RILEY	C.E.O. C + E antiOXIDANT Protect + Repair Moisturizer	65	4.1	1	1	1	1	1
Moisturizer	FARS?LI	Rose Gold Elixir – 24k Gold Infused Beauty Oil	54	4	0	0	0	0	0
Moisturizer	IT COSMETICS	Your Skin But Better™ CC+Illumination™ Cream with SPF 50+	38	3.9	1	1	1	1	1
Moisturizer	TATCHA	Luminous Dewy Skin Night Concentrate	110	4.5	1	1	1	0	1
Moisturizer	GLAMGLOW	GLOWSTARTER™ Mega Illuminating Moisturizer	49	4	1	1	1	1	0
Moisturizer	EST?E LAUDER	Revitalizing Supreme Global Anti-Aging Cr?me	82	4.4	0	0	0	0	0
Moisturizer	DR. JART+	Ceramidin™ Cream	48	4.6	1	1	1	0	1
Moisturizer	SUNDAY RILEY	Juno Antioxidant + Superfood Face Oil	72	4.4	0	1	1	0	1
Moisturizer	FRESH	Seaberry Moisturizing Face Oil	52	4.4	0	0	0	0	0
Moisturizer	LANEIGE	BB Cushion Hydra Radiance SPF 50	38	4.3	1	1	1	1	1
Moisturizer	AMOREPACIFIC	FUTURE RESPONSE Age Defense Creme	195	4.4	1	1	1	1	1
Moisturizer	GLAMGLOW	THIRSTYMUD™ Hydrating Treatment	59	4.3	1	1	1	1	0
Moisturizer	FARMACY	Honey Drop Lightweight Moisturizer with Echinacea GreenEnvy™	45	4.1	1	1	1	1	1
Moisturizer	PETER THOMAS ROTH	Water Drench Hyaluronic Cloud Cream	52	4.4	1	1	1	1	1
Moisturizer	AMOREPACIFIC	Vintage Single Extract Essence	145	4.5	1	1	1	1	0
Moisturizer	IT COSMETICS	Confidence in a Cream™ Transforming Moisturizing Super Cream	48	4.3	1	1	1	1	1
Moisturizer	FRESH	Black Tea Corset Cream Firming Moisturizer	95	4	0	0	0	0	0
Moisturizer	FRESH	Cr?me Ancienne®	290	4.4	1	1	1	1	1
Moisturizer	FIRST AID BEAUTY	Hello FAB Coconut Skin Smoothie Priming Moisturizer	28	4.2	1	1	1	1	1
Moisturizer	IT COSMETICS	Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer	68	3.8	1	1	1	1	1
Moisturizer	SHISEIDO	Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18	60	4.3	0	1	1	0	0
Moisturizer	FRESH	Rose Floral Toner	40	4.1	0	0	0	0	0
Moisturizer	ORIGINS	High-Potency Night-a-Mins™ Oil-Free Resurfacing Cream with Fruit-Derived AHAs	45	4.3	0	0	1	1	0
Moisturizer	TARTE	Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen	36	4.3	0	0	0	0	0
Moisturizer	CLINIQUE	Moisture Surge Intense Skin Fortifying Hydrator	39	4.4	1	1	0	0	0
Moisturizer	JOSIE MARAN	Argan Daily Moisturizer SPF 47	32	3.9	1	1	1	1	1
Moisturizer	LANEIGE	Water Bank Essence	36	4.7	1	1	1	1	1
Moisturizer	JACK BLACK	Double-Duty Face Moisturizer Broad Spectrum SPF 20	28	4.5	0	0	0	0	0
Moisturizer	GLOW RECIPE	Watermelon Pink Juice Moisturizer	39	4.1	1	0	1	1	1
Moisturizer	LA MER	The Concentrate Mini	190	0	0	0	0	0	0
Moisturizer	LA MER	The Moisturizing Cool Gel Cream	175	3.3	1	1	1	1	1
Moisturizer	PHILOSOPHY	Renewed Hope in A Jar Refreshing & Refining Moisturizer	39	4.1	1	1	1	1	1
Moisturizer	PERRICONE MD	Cold Plasma Sub-D Firming Neck Treatment	135	3.8	1	1	1	1	1
Moisturizer	LANC?ME	R?nergie Lift Multi-Action Night	122	4.3	1	1	1	1	1
Moisturizer	ALGENIST	GENIUS Ultimate Anti-Aging Cream	112	4.3	1	1	1	1	1
Moisturizer	IT COSMETICS	Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+	35	3.6	0	0	0	0	0
Moisturizer	DR. JART+	Cicapair™ Tiger Grass Cream	48	4.3	1	1	1	1	1
Moisturizer	CLINIQUE	Dramatically Different Hydrating Jelly	28	4	1	0	1	1	1
Moisturizer	JOSIE MARAN	Whipped Argan Oil Face Butter	40	4.1	1	1	1	1	1
Moisturizer	OLEHENRIKSEN	Nurture Me™ Moisturizing Cr?me	40	4.4	0	1	0	0	1
Moisturizer	SHISEIDO	Benefiance WrinkleResist24 Balancing Softener Enriched	45	4.6	0	0	0	0	0
Moisturizer	FARMACY	Sleep Tight Firming Night Balm with Echinacea GreenEnvy™	48	4.3	1	1	1	1	1
Moisturizer	ORIGINS	Original Skin™ Matte Moisturizer with Willowherb	35	4.5	0	1	1	1	0
Moisturizer	HERBIVORE	Phoenix Cell Regenerating Facial Oil	88	4.5	0	1	0	0	1
Moisturizer	OLEHENRIKSEN	Invigorating Night Transformation™ Gel	48	4.3	1	1	1	1	1
Moisturizer	BELIF	Aqua Bomb Sleeping Mask	34	4.7	1	1	1	1	1
Moisturizer	CHARLOTTE TILBURY	Charlotte's Magic Cream Mini	29	3.5	0	0	0	0	0
Moisturizer	YOUTH TO THE PEOPLE	Superfood Air-Whip Hyaluronic Acid Moisture Cream	48	4.2	1	0	1	1	1
Moisturizer	SK-II	Facial Treatment Essence Karan Singh Limited Edition	229	0	0	0	0	0	0
Moisturizer	TATCHA	The Indigo Cream Soothing Skin Protectant	85	4.2	1	1	1	1	1
Moisturizer	KIEHL'S SINCE 1851	Super Multi-Corrective Cream	84	4.3	0	0	0	0	0
Moisturizer	BIOSSANCE	Squalane + Omega Repair Cream	58	4.7	1	1	1	0	1
Moisturizer	SHISEIDO	Bio-Performance Advanced Super Restoring Cream	127	4.3	0	0	0	0	0
Moisturizer	ORIGINS	High-Potency Night-a-Mins™ Resurfacing Cream with Fruit-Derived AHAs	45	4.3	0	1	1	0	0
Moisturizer	SHISEIDO	Benefiance WrinkleResist24 Day Emulsion Broad Spectrum SPF 18	60	4.3	0	0	0	0	0
Moisturizer	MAKE UP FOR EVER	Mist & Fix Setting Spray	30	4.2	0	0	0	0	0
Moisturizer	IT COSMETICS	Bye Bye Redness™ Neutralizing Correcting Cream	32	4.2	0	0	0	0	0
Moisturizer	KIEHL'S SINCE 1851	Daily Reviving Concentrate	47	4.7	1	1	1	1	1
Moisturizer	BOBBI BROWN	BB Cream SPF 35	47	3.9	1	0	1	1	0
Moisturizer	FRESH	Vitamin C Glow Moisturizer	42	4.3	1	0	1	1	1
Moisturizer	KORRES	Wild Rose + Vitamin C Advanced Brightening Sleeping Facial	48	4.4	1	1	1	1	1
Moisturizer	FRESH	Vitamin Nectar Antioxidant Face Mist	44	4.8	0	0	0	0	0
Moisturizer	BELIF	Peat Miracle Revital Cream	58	4.7	1	1	1	0	0
Moisturizer	YOUTH TO THE PEOPLE	Superberry Hydrate + Glow Oil	44	4.8	1	1	1	0	1
Moisturizer	MURAD	Hydro-Dynamic® Ultimate Moisture	75	4.4	0	0	0	0	0
Moisturizer	IT COSMETICS	Miracle Water 3-in-1 Micellar Cleanser	38	4.5	1	1	1	1	1
Moisturizer	TARTE	Drink of H2O Hydrating Boost Moisturizer Rainforest of the Sea™	39	4.4	1	1	1	1	1
Moisturizer	SMASHBOX	Photo Finish Primer Water	32	4.1	1	1	1	1	1
Moisturizer	FIRST AID BEAUTY	Ultra Repair Hydra-Firm Sleeping Cream	38	4.3	1	1	1	1	1
Moisturizer	MURAD	Retinol Youth Renewal Night Cream	82	4.6	1	1	1	1	1
Moisturizer	EST?E LAUDER	Nutritious Vitality8™ Radiant Moisture Creme	65	4	0	0	0	0	0
Moisturizer	TATCHA	The Essence Plumping Skin Softener	95	4.4	1	1	1	1	1
Moisturizer	GUERLAIN	Midnight Secret Late Night Recovery Treatment	29	4.2	1	1	1	1	1
Moisturizer	BIOSSANCE	Squalane + Probiotic Gel Moisturizer	52	4.4	1	1	1	1	1
Moisturizer	DIOR	Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50	82	4.2	0	0	0	0	0
Moisturizer	SMASHBOX	Photo Finish Primerizer	42	4.1	1	1	1	1	0
Moisturizer	ORIGINS	A Perfect World™ SPF 40 Age-Defense Moisturizer with White Tea	45	3.5	1	1	1	1	1
Moisturizer	KORA ORGANICS	Noni Glow Face Oil	68	4.3	1	1	1	1	1
Moisturizer	LANEIGE	Water Bank Hydrating Gel	35	4.6	1	0	1	1	1
Moisturizer	SK-II	GenOptics Spot Essence Serum	225	4.2	1	1	1	1	1
Moisturizer	DR. DENNIS GROSS SKINCARE	Ferulic + Retinol Anti-Aging Moisturizer	75	4.1	1	1	1	1	1
Moisturizer	REN CLEAN SKINCARE	Evercalm™ Overnight Recovery Balm	48	4.9	1	1	1	1	1
Moisturizer	MURAD	Oil-Control Mattifier SPF 15 PA++	40	4.2	1	0	0	1	0
Moisturizer	OLEHENRIKSEN	Counter Balance™ Oil Control Hydrator	34	4.3	1	0	0	1	0
Moisturizer	DIOR	Capture Totale Dreamskin Advanced	115	4.3	1	1	1	1	1
Moisturizer	KIEHL'S SINCE 1851	Ultra Facial Oil-Free Gel-Cream	29	4.1	1	0	1	0	0
Moisturizer	FIRST AID BEAUTY	Ultra Repair® Hydrating Serum	36	4.2	1	1	1	1	1
Moisturizer	ORIGINS	Dr. Andrew Weil For Origins™ Mega-Bright SPF 30 Skin Tone Correcting Oil-Free Moisturizer	56	4.1	1	1	1	1	0
Moisturizer	BIOSSANCE	100% Squalane Oil	58	4.6	1	1	1	1	1
Moisturizer	FIRST AID BEAUTY	Ultra Repair Face Moisturizer	24	4.2	1	1	1	1	1
Moisturizer	MURAD	Skin Perfecting Lotion - Blemish Prone/Oily Skin	40	4.3	1	0	1	1	0
Moisturizer	GUERLAIN	Abeille Royale Youth Watery Oil	50	4.1	1	1	1	1	0
Moisturizer	FRESH	Black Tea Age-Delay Cream	90	4.2	0	1	1	0	0
Moisturizer	ORIGINS	Plantscription™ SPF 25 Power Anti-Aging Cream	60	4.7	1	1	1	0	1
Moisturizer	LA MER	The Moisturizing Soft Lotion	270	3.6	1	1	1	1	1
Moisturizer	CLINIQUE	Acne Solutions BB Cream Broad Spectrum SPF 40	39	4.1	1	0	0	1	0
Moisturizer	SHISEIDO	Benefiance WrinkleResist24 Night Emulsion	63	4.3	0	0	0	0	0
Moisturizer	CAUDALIE	Resveratrol Lift Night Infusion Cream	76	4.1	1	1	1	1	1
Moisturizer	LANC?ME	ABSOLUE PREMIUM ?x – Absolute Replenishing Cream SPF 15 Sunscreen	175	4.5	0	0	0	0	0
Moisturizer	MURAD	Essential-C Day Moisture Broad Spectrum SPF 30 PA+++	63	4	1	1	1	1	1
Moisturizer	CLINIQUE	Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30	39	3.8	0	0	0	0	0
Moisturizer	KOPARI	Coconut Melt	28	4.2	1	1	1	1	1
Moisturizer	SHISEIDO	Future Solution LX Total Regenerating Cream	280	4	1	1	1	1	1
Moisturizer	CLARINS	Multi-Active Night Cream - Normal to Combination Skin	57	4.2	1	0	1	1	0
Moisturizer	FARS?LI	Volcanic Elixir Polynesian Beauty Oil	39	4.5	0	0	0	0	0
Moisturizer	TARTE	Maracuja Oil	48	4.4	0	0	0	0	0
Moisturizer	SHISEIDO	Ibuki Refining Moisturizer	45	4.1	0	0	0	0	0
Moisturizer	SHISEIDO	Ibuki Refining Moisturizer Enriched	45	4.4	1	1	1	1	0
Moisturizer	LA MER	The Renewal Oil Mini	130	4	1	1	1	1	1
Moisturizer	NURSE JAMIE	Tech Neck Prevention Kit	69	5	0	0	0	0	0
Moisturizer	LANCER	The Method: Nourish	125	4.5	1	1	1	1	1
Moisturizer	LANC?ME	BIENFAIT MULTI-VITAL NIGHT - High Potency Night Moisturizing Cream VITA-NUTRI 8™	52	4.5	0	0	0	0	0
Moisturizer	TATCHA	Gold Camellia Beauty Oil	95	4.6	1	1	1	1	1
Moisturizer	DR. DENNIS GROSS SKINCARE	Ferulic + Retinol Wrinkle Recovery Overnight Serum	88	4.4	1	1	1	1	1
Moisturizer	SMASHBOX	Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting	42	3.9	1	1	1	1	1
Moisturizer	L'OCCITANE	Immortelle Divine Cream	110	3.9	0	0	0	0	0
Moisturizer	EST?E LAUDER	Advanced Time Zone Night Age Reversing Line/Wrinkle Cr?me	80	4.7	0	0	0	0	0
Moisturizer	KATE SOMERVILLE	Oil Free Moisturizer	65	4.2	1	0	1	1	0
Moisturizer	SUPERGOOP!	CC Cream Daily Correct Broad Spectrum SPF 35+ Sunscreen	34	4.4	1	1	1	1	1
Moisturizer	ALGENIST	Overnight Restorative Cream	94	4.4	0	0	0	0	0
Moisturizer	ORIGINS	GinZing™ SPF 40 Energy-Boosting Tinted Moisturizer	39	4	1	1	1	1	0
Moisturizer	CAUDALIE	Premier Cru Cream	140	4.4	1	1	1	1	1
Moisturizer	CAUDALIE	Resveratrol Lift Face Lifting Soft Cream	76	3.9	1	1	1	0	1
Moisturizer	SHISEIDO	White Lucent MultiBright Night Cream	92	4.1	1	1	1	1	0
Moisturizer	DR. DENNIS GROSS SKINCARE	C+ Collagen Deep Cream	72	4.2	0	1	1	0	1
Moisturizer	KORRES	Wild Rose Vitamin C Active Brightening Oil	54	4.4	1	1	1	1	1
Moisturizer	CLINIQUE	Limited Edition Dramatically Different™ Moisturizing Gel	39	5	1	0	0	1	0
Moisturizer	SATURDAY SKIN	Waterfall Glacier Water Cream	39	4.6	1	1	1	1	1
Moisturizer	SHISEIDO	Bio-Performance Glow Revival Cream	105	4.8	0	0	0	0	0
Moisturizer	SEPHORA COLLECTION	Sleeping Mask	4	4.2	0	0	0	0	0
Moisturizer	BELIF	Hungarian Water Essence	42	4.3	0	0	0	0	0
Moisturizer	JOSIE MARAN	100 percent Pure Argan Oil Light	48	4.4	1	1	0	1	1
Moisturizer	MILK MAKEUP	Cooling Water	24	3.8	1	1	1	1	1
Moisturizer	EST?E LAUDER	"Resilience Lift Firming/Sculpting Face and Neck Creme Broad Spectrum SPF 15, Normal/Combination Skin"	108	4.1	0	0	0	0	0
Moisturizer	EST?E LAUDER	Resilience Lift Night Lifting/Firming Face and Neck Creme	92	4.2	1	1	1	1	0
Moisturizer	OLEHENRIKSEN	Truth Revealed™ Brightening Broad Spectrum SPF 15 Moisturizer	55	4.2	1	1	1	1	1
Moisturizer	DIOR	Capture Totale Multi-Perfection Creme	165	4.4	0	0	0	0	0
Moisturizer	CLINIQUE	Moisture Surge Hydrating Supercharged Concentrate	39	4	1	1	1	1	1
Moisturizer	PHILOSOPHY	Miraculous Anti-wrinkle Miracle Worker	60	4.3	1	1	1	1	1
Moisturizer	KIEHL'S SINCE 1851	Ultra Facial Overnight Hydrating Mask	35	4.4	1	1	1	1	1
Moisturizer	SK-II	Cellumination Cream EX	160	4.3	1	1	1	1	1
Moisturizer	LANC?ME	BIENFAIT MULTI-VITAL - SPF 30 CREAM - High Potency Vitamin Enriched Daily Moisturizing Cream	49	4.3	0	0	0	0	0
Moisturizer	CAUDALIE	Vine[activ] Overnight Detox Oil	50	4.5	1	1	1	1	1
Moisturizer	CLARINS	Extra-Firming Neck Anti-Wrinkle Rejuvenating Cream	90	4.1	1	1	1	1	1
Moisturizer	AMOREPACIFIC	MOISTURE BOUND Rejuvenating Cr?me	150	4.1	1	1	1	0	1
Moisturizer	FRESH	Cr?me Ancienne® Soft Cream	145	4.2	0	0	0	0	0
Moisturizer	ERBORIAN	BB Cr?me au Ginseng	39	4.4	1	1	1	1	1
Moisturizer	DR. JART+	Black Label Detox BB Beauty Balm	36	4.1	1	0	1	0	1
Moisturizer	ALGENIST	SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50	28	4.4	0	0	0	0	0
Moisturizer	PHILOSOPHY	Renewed Hope in A Jar Overnight Recharging & Refining Moisturizer	49	4.4	1	1	1	1	1
Moisturizer	JOSIE MARAN	Argan Cleansing Oil	32	4.1	1	1	1	1	1
Moisturizer	MURAD	Anti-Aging Moisturizer SPF 30 PA+++	48	4.3	0	0	0	0	0
Moisturizer	CLINIQUE	Moisture Surge Overnight Mask	35	4.5	0	0	0	0	0
Moisturizer	KIEHL'S SINCE 1851	Ultra Facial Moisturizer	29	3.9	1	1	1	1	1
Moisturizer	FARMACY	Honey Savior All-in-One Skin Repair Salve with Echinacea GreenEnvy™ Honey	34	4.5	1	1	1	0	1
Moisturizer	PHILOSOPHY	Ultimate Miracle Worker Multi-Rejuvenating Cream SPF 30	75	4	1	1	1	0	0
Moisturizer	AMOREPACIFIC	Treatment Toner	50	4.4	1	1	1	1	1
Moisturizer	CLINIQUE	Take The Day Off Cleansing Oil	28	4.3	0	0	0	0	0
Moisturizer	SHISEIDO	Bio-Performance LiftDynamic Cream	115	3.7	1	1	1	1	1
Moisturizer	CAUDALIE	Vinosource Intense Moisture Rescue Cream	39	4.2	1	1	1	1	1
Moisturizer	DIOR	Capture Totale Multi-Perfection Creme Refill	140	5	0	0	0	0	0
Moisturizer	KATE SOMERVILLE	Wrinkle Warrior™ 2-in-1 Plumping Moisturizer + Serum	95	3.9	1	1	1	1	0
Moisturizer	DR. DENNIS GROSS SKINCARE	Hyaluronic Marine Oil-Free Moisture Cushion	60	4.2	1	1	1	1	1
Moisturizer	EST?E LAUDER	Advanced Night Repair Intensive Recovery Ampoules	115	4.9	1	1	1	1	1
Moisturizer	CLINIQUE	Smart Night Custom-Repair Moisturizer - Very Dry to Dry	58	4.7	0	0	0	0	0
Moisturizer	MURAD	Nutrient-Charged Water Gel	60	4.6	1	1	1	1	1
Moisturizer	GUERLAIN	Lingerie de Peau BB Cream	54	4.3	1	1	1	1	1
Moisturizer	BAREMINERALS	Prime Time™ BB Tinted Primer Broad Spectrum SPF 30	27	4.1	0	0	0	0	0
Moisturizer	AMOREPACIFIC	MOISTURE BOUND Refreshing Hydra-Gel Oil-Free	100	4.2	1	1	1	0	1
Moisturizer	HERBIVORE	Orchid Youth-Preserving Facial Oil	64	4.6	0	0	1	0	1
Moisturizer	SEPHORA COLLECTION	Instant Moisturizer + Cream	23	4.4	0	0	0	0	0
Moisturizer	CLARINS	Hydra-Essentiel Silky Cream - Normal to Dry Skin	48	4.5	0	1	1	0	1
Moisturizer	EST?E LAUDER	Revitalizing Supreme+ Global Anti-Aging Cell Power Creme SPF 15	82	4	1	1	1	1	1
Moisturizer	TARTE	4-in-1 Setting Mist - Rainforest of the Sea™ Collection	25	3.9	0	0	0	0	0
Moisturizer	FIRST AID BEAUTY	Hello FAB Coconut Water Cream	34	4.2	1	0	1	1	1
Moisturizer	DR. BRANDT SKINCARE	Do Not Age with Dr. Brandt Moisturizing Neck Cream	67	4.2	1	1	1	1	0
Moisturizer	LANEIGE	Water Bank Dual Layer Face Oil	38	5	1	1	1	0	0
Moisturizer	SHISEIDO	Ibuki Beauty Sleeping Mask	40	4.4	1	1	1	1	0
Moisturizer	TARTE	Colored Clay CC Undereye Corrector	25	4.2	0	0	0	0	0
Moisturizer	GLAMGLOW	VOLCASMIC™ Matte Glow Moisturizer	49	4.1	1	0	1	1	0
Moisturizer	LANC?ME	R?nergie Lift Multi-Action Sunscreen Broad Spectrum SPF 15 For All Skin Types	99	3.9	1	1	1	1	1
Moisturizer	BIOSSANCE	Squalane + Antioxidant Cleansing Oil	30	4.4	1	1	1	1	1
Moisturizer	IT COSMETICS	Your Skin But Better CC+ Illumination Cream with SPF 50+	38	3.8	0	0	0	0	0
Moisturizer	ORIGINS	Plantscription™ Youth-Renewing Power Night Cream	60	4.4	1	1	1	1	1
Moisturizer	LANC?ME	?nergie de Vie The Smoothing & Plumping Water-Infused Cream	55	4.2	1	1	1	1	1
Moisturizer	KATE SOMERVILLE	ExfoliKate Glow Moisturizer	65	4.6	1	1	1	1	0
Moisturizer	J.ONE	Jelly Pack	42	4.3	1	1	1	1	1
Moisturizer	KATE SOMERVILLE	RetAsphere™ 2-in-1 Retinol Night Cream	85	4.3	1	1	1	1	0
Moisturizer	PERRICONE MD	High Potency Classics: Face Finishing & Firming Moisturizer	69	4.3	1	1	1	0	1
Moisturizer	KAT VON D	Lock-It Makeup Setting Mist	26	4.1	0	0	0	0	0
Moisturizer	DIOR	Capture Totale Intensive Night Restorative Cr?me	175	4.5	0	0	0	0	0
Moisturizer	PERRICONE MD	Vitamin C Ester Photo-Brightening Moisturizer SPF 30	69	4.2	0	0	0	0	0
Moisturizer	JOSIE MARAN	Argan Infinity Cream Intensive Creamy Oil	28	4.5	1	1	1	0	1
Moisturizer	TATA HARPER	Repairative Moisturizer	110	3.4	0	1	0	0	0
Moisturizer	SHISEIDO	Ibuki Protective Moisturizer Broad Spectrum SPF 18	45	3.9	0	0	0	0	0
Moisturizer	DR. JART+	Water Drop Hydrating Moisturizer	36	4.1	1	1	1	1	1
Moisturizer	HERBIVORE	Moon Fruit Superfruit Night Treatment	58	4	1	1	1	1	1
