label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
0,5,1371.5,3,82000,2,15,5,115,5,151300,1
0,4,1313,3,133000,2,8,5,80,5,60074,1
0,5,1212.5,3,125000,2,15,10,113,4,550005,187.0828693
0,4,1322,1,104000,2,8,5,114,3,60019,212.1320344
1,7,1214,3,51000,2,11,9,111,5,72000,1
0,4,1305.5,3,91000,2,8,2,95,5,60091,1
0,4,1278.5,3,115000,2,8,5,99,3,72000,173.2050808
1,7,1241,3,75000,2,11,5,110,4,450059,194.9358869
0,4,1281.5,3,304000,2,8,5,84,3,60024,1
0,5,1230.5,3,58000,2,15,-1,92,3,340020,122.4744871
0,7,,2,58000,2,11,5,113,4,510010,187.0828693
0,7,1257.5,1,84000,1,11,5,106,5,71000,173.2050808
1,4,1305.5,3,59000,2,8,5,113,4,72004,1
0,5,1223,3,90000,2,15,5,101,3,450091,223.6067977
0,4,1214,3,118000,2,8,5,110,4,71000,223.6067977
0,4,1235,3,84000,2,8,5,82,5,60044,1
0,7,1266.5,1,165000,2,11,5,111,3,60084,1
0,4,1304,1,100000,2,8,-1,113,3,350098,158.113883
0,7,,2,64000,2,11,5,113,4,151009,159.8812059
0,7,,3,108000,1,11,-1,111,4,450006,158.113883
0,7,1244,3,59000,2,11,5,79,3,60040,173.2050808
1,5,1314.5,3,177000,2,15,5,105,5,60059,1
0,4,1386.5,3,296000,2,9,5,109,5,151300,223.6067977
0,7,,3,35000,2,12,-1,86,3,650070,161.8548733
0,4,1257.5,1,91000,2,8,5,90,3,72000,1
0,4,1269.5,3,107000,1,8,9,81,3,60040,173.2050808
0,4,1304,3,60000,2,8,2,95,5,60058,223.6067977
0,7,1283,3,90000,2,11,5,85,5,60000,1
0,4,,2,139000,2,8,5,111,3,60036,1
1,4,,2,60000,2,8,9,100,5,151300,172.3223723
1,7,1265,3,70000,2,11,-1,81,5,350704,316.227766
0,7,1256,1,126000,2,11,9,102,3,350705,158.113883
0,7,1314.5,3,150000,2,11,10,113,4,60023,187.0828693
0,4,1320.5,1,138000,2,8,9,108,3,60000,212.407627
0,5,1377.5,3,96000,2,15,5,87,5,60044,207.3644135
0,7,1415,3,155000,2,11,5,107,3,60005,212.1320344
0,5,1272.5,3,143000,2,15,5,114,4,72001,223.6067977
0,4,1278.5,3,186000,2,8,5,100,5,72000,173.2050808
1,7,1254.5,3,100000,2,11,5,84,5,151300,158.113883
1,4,1239.5,3,90000,2,8,5,100,3,60019,173.2050808
0,7,1281.5,3,98000,2,11,9,114,4,60019,1
0,7,1376,1,150000,2,11,-1,110,4,60000,219.2487172
0,7,1350.5,1,110000,2,11,-1,108,5,71000,1
0,4,1338.5,1,112000,2,8,5,90,3,330008,1
0,5,1250,1,167000,2,15,-1,90,5,450080,141.4213562
0,4,1307,1,133000,2,8,5,110,3,60043,1
0,7,1235,1,75000,2,11,5,91,5,350092,200
1,5,1308.5,3,30000,2,15,5,99,5,60062,1
0,4,1340,3,116000,2,8,9,104,5,72000,1
0,4,1214,3,81000,2,8,9,101,4,60040,1
0,7,1230.5,1,129000,2,11,5,88,3,60043,1
1,4,1241,3,60000,2,8,5,115,5,60036,1
0,5,,3,95000,2,15,-1,112,4,450006,173.2050808
0,7,1284.5,3,106000,2,11,9,104,4,60036,1
0,4,1308.5,1,35000,2,8,5,103,5,151300,1
0,4,1227.5,3,62000,2,8,5,110,5,60069,1
0,5,1277,1,142000,2,15,-1,111,4,450002,197.4841766
0,7,1277,3,98000,2,11,5,92,5,60036,1
1,5,1347.5,3,150000,2,15,5,110,5,72000,538.5387637
0,5,,2,82000,2,15,5,106,5,60058,1
0,7,1266.5,3,89000,2,11,5,89,3,60091,1
1,5,1268,3,91000,2,15,5,112,4,71008,1
0,5,1265,1,90000,2,15,-1,110,5,450018,187.0828693
0,5,1310,1,500000,2,15,5,103,5,452306,244.9489743
0,7,1290.5,1,99000,2,11,-1,110,5,450062,200
0,5,1272.5,3,97000,2,15,8,105,5,72000,1
0,5,1304,3,390000,2,15,5,91,5,60050,1
0,4,1277,3,100000,2,8,5,100,5,60000,223.6067977
0,4,1356.5,1,148000,2,8,5,83,3,60001,1
1,7,1262,3,172000,2,11,9,112,4,72000,262.1106637
0,7,1247,3,71000,1,11,9,95,4,60026,200.7560709
0,7,1235,3,89000,2,11,5,115,5,60065,1
0,4,1196,3,65000,2,8,-1,108,4,72001,1
1,5,1269.5,3,86000,2,15,9,89,5,60019,1
0,5,1256,3,110000,2,15,9,107,5,60018,1
0,7,1254.5,3,97000,2,11,5,83,3,60017,282.8427125
0,5,1239.5,3,78000,2,15,5,112,4,450015,214.4761059
0,7,1241,3,63000,2,11,5,107,5,72000,1
0,4,1341.5,1,91000,1,8,5,100,4,151300,173.6605885
0,4,1317.5,3,293000,2,8,5,100,5,60018,1
1,5,1326.5,3,30000,2,15,5,110,5,60005,1
0,5,1310,3,325000,2,15,5,83,3,71000,1
0,5,1274,3,127000,2,15,9,113,4,72001,212.1320344
1,5,,2,30000,2,15,5,104,3,72002,207.3644135
0,7,1317.5,3,150000,2,11,5,112,5,450042,345.7947368
0,7,1346,1,112000,2,11,5,85,5,60064,200
0,5,1277,1,101000,2,15,5,111,4,60091,1
0,4,1338.5,3,165000,2,8,5,111,5,151300,288.0972058
0,7,1316,1,117000,2,11,-1,110,5,361013,1
0,4,1272.5,3,170000,2,8,5,110,4,60019,1
0,5,1269.5,1,175000,2,15,5,110,5,350057,173.2050808
0,4,1283,3,94000,2,8,9,64,5,60017,1
0,7,1329.5,1,150000,2,11,-1,86,5,60036,1
0,7,1266.5,3,130000,2,11,9,100,5,60005,173.2050808
0,5,1248.5,3,98000,2,15,5,110,4,550003,178.8854382
0,7,1340,3,341000,2,11,5,112,5,72001,1
1,5,1292,3,119000,2,15,9,107,4,72001,187.0828693
0,7,1266.5,3,120000,1,11,9,110,3,60029,316.227766
1,5,,2,90000,2,15,5,92,5,72014,1
0,4,1268,1,104000,2,8,9,95,5,60027,1
1,7,1242.5,3,56000,2,11,5,113,4,151300,1
1,7,1272.5,3,80000,2,11,9,86,4,60043,1
0,4,,2,57000,2,8,-1,100,3,72000,194.1829035
0,7,1298,1,71000,2,11,-1,113,4,72000,1
0,4,1298,3,101000,2,8,9,105,3,60052,212.1320344
0,4,,2,126000,2,8,-1,109,5,330012,1
0,7,1214,3,58000,2,11,5,112,4,71006,1
1,7,1355,3,94000,2,11,5,114,4,510044,216.3816074
1,7,1289,1,107000,2,11,5,102,3,151300,1
0,7,1295,1,116000,2,11,9,108,4,151300,1
0,7,1308.5,3,143000,2,11,5,100,3,151009,173.2050808
0,7,,2,53000,2,11,5,105,4,151307,186.2229846
1,7,1188.5,3,90000,2,11,5,98,5,60017,1
0,4,1290.5,1,118000,1,8,5,100,5,60023,141.4213562
1,5,1305.5,3,35000,2,15,9,115,4,72000,1
0,7,1230.5,3,114000,2,11,5,112,4,72000,254.9509757
0,7,,2,179000,2,11,5,113,4,450002,267.5817632
0,5,,3,94000,2,15,5,113,4,60057,193.6362569
0,4,1287.5,3,110000,2,8,9,80,5,151300,1
0,4,1290.5,1,103000,2,8,9,112,4,60084,176.0681686
1,5,1367,3,167000,2,15,5,95,5,60021,244.9489743
0,7,1419.5,1,89000,2,11,5,110,3,350060,337.106808
0,5,1307,3,91000,2,15,5,110,5,60023,200
1,5,1322,3,195000,2,15,5,90,3,60033,240.8318916
0,5,1250,3,93000,2,15,7,111,5,350062,244.9489743
0,4,1179.5,3,56000,2,8,5,99,3,72000,234.520788
0,4,,2,39000,2,8,5,113,4,72015,172.4731863
0,5,1269.5,1,77000,1,15,-1,84,5,450000,167.3320053
0,4,1316,1,127000,2,8,-1,95,5,330013,1
0,7,1272.5,1,229000,2,11,-1,112,3,450000,173.2050808
1,7,1262,3,151000,2,11,5,114,4,510102,251.968252
0,5,1443.5,3,155000,1,15,5,104,5,60000,254.9509757
0,5,1187,3,102000,2,15,5,113,4,450081,197.4841766
0,4,1338.5,1,107000,2,8,9,82,5,151300,1
0,4,,2,259000,1,8,5,110,4,72000,200
0,5,1296.5,1,130000,2,15,-1,86,4,60018,158.113883
1,7,1355,1,160000,2,11,5,84,3,151304,173.2050808
0,4,1253,1,468000,2,8,5,81,5,60016,204.9390153
0,7,1296.5,3,138000,1,11,5,100,5,60027,158.113883
0,7,,2,106000,2,11,-1,90,5,60033,1
1,4,,2,50000,2,8,5,87,5,60033,167.934511
1,5,1302.5,1,177000,2,15,9,80,3,371200,158.113883
0,4,1238,3,125000,2,8,9,85,5,60002,1
0,5,1214,3,56000,2,15,5,101,5,60064,192.1639925
0,4,,2,45000,2,8,5,85,4,151307,172.1307642
1,7,1290.5,3,113000,2,11,5,109,5,60091,204.9390153
0,7,1245.5,3,58000,2,11,5,101,5,60058,200
0,5,1316,3,500000,2,15,5,104,5,72000,316.227766
0,4,,2,97000,2,8,5,110,4,72001,196.3644571
0,7,1332.5,3,98000,2,11,5,107,5,60033,262.1278314
0,7,1290.5,1,108000,1,11,5,95,5,60064,1
0,7,1259,3,147000,2,11,9,110,5,350029,421.0700654
1,4,,2,446000,2,8,-1,90,5,60014,1
0,4,1245.5,3,87000,2,8,5,112,5,60033,222.1328431
0,5,1296.5,3,148000,2,15,5,100,4,60023,187.0828693
0,7,,2,75000,2,11,9,111,4,151009,173.2050808
0,4,1349,3,139000,2,8,5,109,5,151304,212.1320344
0,7,1319,3,88000,2,11,5,114,4,151300,228.4513077
0,5,1301,1,114000,2,15,5,106,3,351106,187.0828693
1,4,1241,3,60000,2,8,5,107,3,151300,187.0828693
0,7,1397,1,131000,2,11,5,95,5,60001,1
0,5,1224.5,3,56000,2,15,5,113,4,151307,1
1,7,1307,1,182000,2,11,-1,101,5,350052,200
0,7,1236.5,1,150000,2,11,9,110,4,450000,212.1320344
1,4,1305.5,3,128000,2,8,5,114,4,72000,291.1889421
0,4,1305.5,1,117000,2,8,5,112,5,60029,1
1,4,1238,3,75000,2,8,5,104,4,72001,1
0,5,1229,3,50000,2,15,9,110,5,450071,200
0,5,1305.5,3,130000,2,15,5,100,5,60016,1
1,7,1205,3,77000,2,11,-1,85,5,151300,273.8612788
0,5,1266.5,3,82000,2,15,9,114,1,60047,200
1,2,1349,1,286000,2,3,-1,80,3,361003,1
0,7,,2,63000,2,11,5,84,5,60019,158.113883
0,7,1247,3,66000,2,11,-1,109,5,60041,1
0,7,1232,1,96000,2,11,9,88,5,151300,233.520877
0,7,1367,1,80000,2,12,-1,112,5,60000,245.5850158
0,4,1298,1,165000,2,8,9,90,3,72000,234.4504212
1,5,1259,3,94000,2,15,9,105,3,350063,200
0,7,1233.5,3,78000,2,11,5,105,3,60036,1
0,4,1352,1,128000,2,8,5,72,3,60058,1
0,7,1370,3,394000,2,11,5,112,5,510009,445.0382006
1,4,1325,1,126000,2,8,9,106,5,71003,1
1,4,1295,1,35000,2,8,5,90,3,151300,1
0,4,1329.5,1,181000,2,8,5,111,3,340017,223.6067977
0,7,1310,3,128000,2,11,9,105,5,60052,223.6067977
0,4,1274,1,132000,2,8,5,107,3,60016,202.4845673
0,7,1326.5,1,91000,1,11,9,106,4,450080,291.5475947
1,7,1334,3,86000,2,11,5,113,5,510065,168.5140944
0,7,1256,3,130000,1,11,9,105,5,60058,187.0828693
0,4,1320.5,1,122000,2,8,5,103,5,60046,1
0,4,1257.5,1,110000,2,8,5,89,3,350063,189.7366596
0,4,1425.5,3,146000,2,8,5,113,5,60062,1
0,4,1248.5,3,50000,2,8,-1,100,3,332345,387.2983346
0,7,1328,3,71000,2,11,5,109,5,60004,444.4738462
0,7,,2,73000,2,11,9,109,3,151300,189.8051633
0,4,1242.5,3,70000,1,8,5,103,3,60040,181.6590212
0,7,1263.5,3,35000,2,12,-1,115,4,350012,271.1162112
0,4,1313,3,98000,1,8,9,103,5,151300,173.2050808
1,5,1322,3,30000,2,15,5,91,5,60047,164.3167673
1,4,,2,48000,1,8,5,101,5,72000,165.3753307
1,7,1263.5,3,53000,2,11,5,111,5,60095,1
0,5,1221.5,3,97000,2,15,9,109,4,72001,263.3097036
0,7,1289,3,68000,1,11,5,86,3,60016,173.2050808
1,5,,2,58000,2,15,5,95,3,60075,212.1320344
0,5,1307,1,39000,2,15,9,114,4,450016,160.4462527
0,7,,3,72000,2,11,-1,107,4,450048,141.4213562
0,4,1190,3,128000,2,8,5,105,5,72000,1
0,4,1353.5,3,125000,2,8,9,107,5,60093,1
0,5,1257.5,3,35000,2,15,-1,89,5,60005,1
1,5,1272.5,3,76000,2,15,5,104,5,60084,1
1,5,,2,47000,2,15,5,112,4,510037,175.8266191
0,7,1238,3,59000,2,11,9,112,5,60000,1
1,7,1280,3,120000,2,11,5,115,5,151300,218.604666
0,4,1263.5,3,100000,2,8,5,64,5,60047,1
0,4,1293.5,1,149000,2,8,-1,96,3,60023,1
1,7,1190,3,95000,2,11,5,88,3,60019,1
0,7,1262,1,104000,2,11,8,107,4,60045,1
0,5,1358,1,101000,2,15,-1,111,5,72000,1
0,1,1217,2,300000,2,4,-1,79,5,550007,1
1,5,1223,3,50000,2,15,5,89,3,151300,1
0,7,1287.5,1,88000,2,11,-1,113,4,71003,1
1,5,1361,3,30000,1,15,5,110,5,60033,264.5751311
0,7,1223,3,68000,1,11,5,84,5,60014,158.113883
0,4,,2,99000,2,8,5,90,3,60036,188.0664776
0,4,,2,105000,2,8,9,110,5,72000,187.0561413
0,7,1298,1,114000,2,11,5,103,3,60014,173.2050808
1,7,1326.5,3,208000,2,11,5,105,4,510070,279.6640842
0,7,1170.5,3,71000,2,11,5,111,4,151307,200
0,7,1325,1,50000,2,12,-1,105,5,350012,225.2287726
0,4,1320.5,1,123000,2,8,5,105,3,332444,1
0,4,1256,3,120000,2,8,5,105,5,72015,1
0,7,1304,1,98000,2,11,5,113,4,151300,180.2775638
0,5,,2,48000,2,15,5,107,4,450008,178.0056179
0,5,1238,3,104000,2,15,7,110,4,450075,243.0370342
0,4,1214,3,82000,1,8,5,100,5,60019,167.3320053
0,7,1368.5,3,390000,2,11,5,101,5,60024,173.2050808
0,7,1262,3,121000,2,11,5,106,5,151300,387.356425
0,7,1362.5,3,83000,2,11,9,100,4,151300,174.2067737
0,7,1253,1,50000,2,11,5,112,4,72049,184.3637708
0,7,1220,3,263000,2,11,9,90,2,151300,1
0,5,1236.5,1,52000,2,15,5,112,4,550009,172.6151789
0,7,1223,3,97000,2,11,5,109,3,450003,187.0828693
0,4,1290.5,3,140000,2,8,9,101,5,60063,1
0,4,1305.5,1,123000,2,8,5,106,3,330008,1
0,5,1241,3,30000,2,15,5,80,5,60006,1
0,4,1397,3,191000,2,8,9,114,4,72000,300.4080558
0,4,1314.5,1,177000,2,8,-1,112,5,60000,200
0,4,1305.5,1,118000,2,8,9,112,4,151300,223.6067977
0,4,1223,3,77000,2,8,9,111,5,72000,1
0,7,1304,1,130000,2,11,5,111,4,450046,223.6067977
0,7,1223,3,72000,2,11,-1,114,5,151300,167.3320053
0,4,1256,3,141000,2,8,5,84,3,60031,223.6067977
0,7,1233.5,3,59000,2,11,5,91,3,450052,387.2983346
0,7,1281.5,1,304000,2,11,-1,111,4,450001,244.9489743
1,4,1242.5,3,56000,2,8,-1,85,5,330007,1
1,7,1281.5,1,75000,2,11,5,87,5,72049,1
0,7,1328,3,182000,2,11,5,98,5,72001,173.2050808
1,7,,3,75000,2,11,9,100,5,450018,353.5533906
0,7,1277,1,119000,1,11,5,105,3,72000,217.4741364
0,7,1335.5,3,185000,2,11,5,100,5,351106,212.1320344
0,4,1239.5,3,85000,2,8,5,66,5,72000,1
1,7,1299.5,1,135000,2,11,5,87,3,350705,187.0828693
1,4,1214,3,56000,2,8,5,109,3,151300,200
0,4,,2,90000,2,8,5,111,4,72001,188.9259114
0,7,1298,1,128000,2,11,5,92,5,151300,173.2050808
0,7,1419.5,3,61000,2,11,5,80,5,151300,200.4594722
0,5,1241,3,51000,2,15,5,88,5,151300,1
0,7,1304,3,135000,2,11,5,90,3,550109,282.8427125
0,7,1301,1,75000,2,11,7,112,4,72000,1
0,7,1266.5,3,110000,1,11,5,99,5,151300,173.2050808
1,4,,2,94000,2,8,-1,113,4,72000,1
0,5,1269.5,1,180000,1,15,5,90,3,151009,173.2050808
1,5,1308.5,3,39000,2,15,5,82,3,450018,159.9843742
0,4,1304,3,35000,2,8,9,90,5,60047,1
0,7,1304,3,290000,2,11,5,111,4,60000,310.3836336
0,7,1307,1,80000,2,11,5,95,5,60026,1
0,7,1235,3,68000,2,11,5,110,5,450017,187.0828693
0,4,1277,1,162000,2,8,5,85,5,151304,212.1320344
1,4,1253,3,84000,2,8,5,107,4,72001,173.2050808
0,5,1242.5,3,30000,2,15,5,80,3,60050,200
1,7,1241,3,65000,2,11,9,110,3,151011,1
0,5,1116.5,3,214000,2,15,9,112,4,60019,200
0,4,1287.5,3,113000,2,8,5,110,4,151300,1
0,5,1251.5,3,106000,2,15,5,83,5,350012,223.6067977
0,7,1350.5,1,137000,2,11,5,100,3,60048,178.8854382
0,5,1305.5,3,72000,2,15,5,100,5,151300,1
0,5,1388,3,75000,2,15,5,113,5,450027,222.2970985
0,7,1320.5,1,123000,2,11,5,113,4,60091,1
1,7,,2,50000,2,11,5,112,5,72000,181.5543996
0,7,1376,3,142000,1,11,5,99,3,151300,223.6067977
1,7,1365.5,3,143000,2,11,5,83,3,60011,202.4845673
0,4,1239.5,1,72000,1,8,5,89,5,60084,173.2050808
0,4,1223,3,56000,2,8,9,110,3,151009,1
1,4,1274,3,388000,2,8,9,111,5,72000,1
0,7,1301,1,77000,2,11,5,95,3,450000,173.2050808
1,7,1323.5,1,152000,2,11,5,98,5,151008,1
0,5,1227.5,3,35000,2,15,4,105,5,510099,316.227766
1,5,1299.5,3,30000,2,15,5,95,5,71000,200
0,4,1317.5,3,81000,2,8,5,90,5,60038,1
0,4,1259,3,35000,2,8,5,90,5,60017,1
0,7,1298,1,100000,2,11,9,112,4,552104,178.8854382
0,7,1284.5,1,82000,2,11,-1,103,4,450019,214.4761059
0,7,1284.5,3,144000,2,11,4,96,3,71002,1
0,7,1334,3,108000,2,11,5,90,3,60092,223.6067977
0,7,1314.5,1,97000,2,11,9,90,3,60005,221.3594362
0,4,1298,1,35000,2,8,5,103,5,60028,200
0,7,1278.5,3,131000,2,11,5,110,3,60001,1
0,7,1257.5,3,144000,2,11,5,114,3,60028,1
0,5,1320.5,3,130000,2,15,5,85,5,60047,212.1320344
1,7,1125.5,3,79000,2,11,-1,107,5,450007,187.0828693
0,7,,2,370000,2,11,-1,85,3,350096,351.0911563
1,5,1259,3,121000,2,15,5,91,5,60064,1
0,4,1266.5,1,104000,2,8,-1,92,5,60036,1
0,4,1266.5,1,191000,2,8,5,85,3,72000,1
0,7,1377.5,3,78000,1,11,5,100,3,60017,173.2050808
1,5,1242.5,3,75000,2,15,5,109,4,510020,173.2050808
0,7,1352,1,142000,2,11,9,111,4,60036,1
1,7,1308.5,1,134000,2,11,5,95,5,151009,1
0,4,1265,1,120000,2,8,5,105,3,71000,1
0,7,1320.5,1,140000,2,11,-1,108,4,550039,189.7366596
1,7,1304,3,63000,2,11,5,110,4,60095,223.6067977
0,4,1308.5,1,125000,1,8,5,104,3,72000,181.6590212
0,7,1283,3,146000,2,11,5,110,4,151300,241.5491668
0,4,1316,1,143000,2,8,5,77,3,60061,1
0,4,1275.5,3,284000,2,8,5,107,5,60000,1
1,7,,2,77000,2,11,5,83,3,60000,174.9314151
0,7,1367,3,234000,2,11,5,113,5,591044,1
0,5,1211,3,97000,2,15,5,86,5,151300,1
0,4,1293.5,1,114000,2,8,5,111,4,72001,1
0,4,1275.5,3,136000,2,8,5,113,4,60000,1
1,4,1328,1,150000,2,8,5,107,3,332414,1
1,7,1241,3,56000,1,11,5,103,4,151300,158.113883
0,5,1311.5,1,215000,2,15,5,110,3,350020,219.089023
0,7,1197.5,3,63000,2,11,-1,93,5,72000,1
0,5,1245.5,3,100000,2,15,2,90,5,60028,204.9390153
0,4,,2,57000,2,8,5,107,5,151300,194.9358869
0,7,1272.5,3,138000,2,11,5,71,3,60023,1
0,7,1239.5,1,108000,2,11,5,110,4,60004,200
0,7,1289,3,130000,2,11,9,84,3,60019,1
0,7,1290.5,1,119000,2,11,9,114,4,591017,1
0,4,1227.5,1,110000,2,8,-1,98,5,361036,1
0,7,,2,59000,2,11,5,111,4,72001,182.9699429
0,4,1253,1,97000,2,8,5,115,3,60034,1
0,4,,2,104000,2,8,5,108,5,151306,185.6744463
0,4,1244,3,107000,2,8,5,112,5,60017,3.16227766
1,4,1230.5,3,125000,2,8,9,109,5,71002,316.227766
0,4,1233.5,1,190000,1,8,-1,85,3,60064,1
0,4,,2,130000,2,8,5,73,5,60024,207.8605302
0,7,1257.5,3,95000,1,11,4,111,4,450015,244.9489743
0,7,1302.5,1,105000,2,11,5,95,3,60000,1
0,7,1230.5,3,57000,2,11,9,108,4,450015,170.2938637
0,7,1245.5,3,110000,2,11,5,100,4,71000,1
0,4,1244,3,97000,2,8,5,99,5,60091,164.3167673
0,5,1302.5,3,211000,2,15,5,87,3,72000,1
0,7,,2,50000,1,11,5,100,4,60075,182.2086716
0,7,1320.5,1,145000,2,11,5,100,5,330012,1
0,7,1304,3,129000,2,11,5,103,3,151300,161.245155
0,7,1287.5,1,152000,2,11,5,108,5,151300,1
0,7,,2,127000,2,11,-1,110,4,450063,200
0,4,1214,3,51000,2,8,5,104,5,151300,173.2050808
0,7,1262,3,106000,2,11,9,109,4,450002,173.2050808
0,7,1277,3,243000,2,11,5,83,5,60087,1
1,4,1211,3,71000,2,8,5,101,5,60073,264.5751311
0,5,1251.5,3,113000,2,15,5,85,5,60084,212.0943186
1,1,1343,1,550000,2,5,-1,77,5,350024,1
1,4,1251.5,3,51000,2,8,-1,74,5,60041,1
0,7,1275.5,3,122000,2,11,9,108,4,60018,1
0,5,1262,3,93000,2,15,9,86,5,151300,204.9390153
0,5,1248.5,1,286000,2,15,-1,112,4,450094,173.2050808
0,4,,2,46000,2,8,5,114,4,60000,173.7843491
1,4,1223,3,73000,2,8,9,105,3,151300,1
0,4,1257.5,3,35000,2,8,3,112,4,72014,1
1,5,1391,3,112000,2,15,5,112,4,71002,192.608411
1,4,,2,66000,2,8,9,113,4,72002,162.4499923
0,7,1232,3,100000,2,11,5,111,4,72000,204.9390153
0,5,1364,3,142000,2,15,5,100,5,60044,1
0,4,1313,3,328000,2,8,5,90,5,151300,1
0,7,1266.5,3,86000,2,11,5,87,3,151000,200
0,4,1296.5,3,250000,2,8,5,105,3,60033,200
1,7,1239.5,1,238000,2,11,5,110,4,60014,200
0,4,1244,3,119000,2,8,9,100,3,60067,1
0,5,1215.5,3,100000,2,15,5,110,5,450015,258.0852572
0,7,1250,3,102000,2,11,5,100,3,60050,1
1,7,1361,3,274000,2,11,5,100,3,151300,314.9666649
0,7,1361,3,77000,1,11,5,103,5,72000,200
0,4,1251.5,1,360000,2,8,9,110,4,151300,1
0,4,1314.5,3,176000,2,8,9,114,4,72049,241.8470591
1,7,1256,1,102000,2,11,-1,110,4,450080,178.8854382
0,4,,2,70000,2,8,5,90,3,72000,186.1451047
1,7,1212.5,3,61000,2,11,5,112,4,450031,187.0828693
0,7,1322,1,115000,2,11,5,84,3,60052,1
